,NAME,state,county,total_pop,hispanic,white_nonhispanic,black_nonhispanic,other_nonhispanic,asian_nonhispanic,above_65,less_than_9grade,hs_nodiploma,ged,college_nodegree,associates,bachelors_graduate
918,"Fayette County, Pennsylvania",42,51,129274,1683,118440,6032,2392,727,28057.0,2.7,8.8,48.0,14.4,8.8,17.3
919,"Fayette County, Tennessee",47,47,41133,1254,27878,11201,525,275,9078.0,3.0,10.8,32.1,24.5,7.4,22.2
920,"Fayette County, Texas",48,149,25346,5450,17991,1485,313,107,6679.0,6.6,7.3,39.1,20.6,6.7,19.7
921,"Fayette County, West Virginia",54,19,42406,516,39152,1843,769,126,9227.0,5.1,12.1,43.9,17.3,6.7,14.8
922,"Fentress County, Tennessee",47,49,18523,291,17833,77,258,64,4149.0,8.6,8.5,43.6,16.8,6.6,16.0
923,"Fergus County, Montana",30,27,11050,243,10355,33,365,54,2785.0,1.6,5.7,28.5,24.0,11.1,29.1
924,"Ferry County, Washington",53,19,7627,368,5565,52,1534,108,2154.0,2.8,10.2,34.9,25.6,7.7,18.8
925,"Fillmore County, Minnesota",27,45,21067,382,20221,106,217,141,4469.0,4.5,4.5,34.1,22.5,12.2,22.2
926,"Fillmore County, Nebraska",31,59,5462,212,5097,44,78,31,1264.0,3.0,4.9,33.5,21.4,15.8,21.4
927,"Finney County, Kansas",20,55,36467,18513,14611,1347,557,1439,4141.0,16.6,12.4,22.2,23.4,8.4,17.1
928,"Fisher County, Texas",48,151,3830,1080,2535,130,70,15,961.0,,,,,,
929,"Flagler County, Florida",12,35,115081,12508,85668,11600,2468,2837,35896.0,2.2,5.6,34.3,22.7,10.1,25.1
930,"Flathead County, Montana",30,29,103806,3131,96151,284,3368,872,20994.0,1.2,4.0,29.4,23.5,10.8,31.0
931,"Fleming County, Kentucky",21,69,14581,214,13942,205,178,42,2624.0,8.0,12.4,40.3,17.3,9.2,12.9
932,"Florence County, South Carolina",45,41,138293,3889,70857,59081,2150,2316,24062.0,4.6,10.4,32.9,19.3,9.2,23.6
933,"Florence County, Wisconsin",55,37,4295,44,4104,19,109,19,1162.0,,,,,,
934,"Floyd County, Georgia",13,115,98498,11416,69506,14222,1886,1468,16779.0,6.9,10.7,34.3,19.2,8.0,20.9
935,"Floyd County, Indiana",18,43,78522,2765,68700,4208,1867,982,12927.0,2.5,6.7,30.9,21.2,9.1,29.6
936,"Floyd County, Iowa",19,67,15642,598,14175,433,191,245,3478.0,4.4,5.6,35.4,19.9,15.0,19.8
937,"Floyd County, Kentucky",21,71,35589,327,34455,382,319,106,6706.0,12.0,12.8,37.8,20.6,5.5,11.3
938,"Floyd County, Texas",48,153,5712,3366,2072,191,56,27,1070.0,15.4,10.4,27.7,23.5,7.1,15.9
939,"Floyd County, Virginia",51,63,15749,474,14643,295,249,88,3698.0,6.9,6.1,35.7,20.0,9.2,22.1
